#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
483790 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1352190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1353690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1355190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1356690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1358190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1359690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1361190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1362690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1364190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1365690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1367190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1368690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1370190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1371690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1373190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1374690 350 2.1e-321  0 0 0 0 0 0 0 1e+02 
483790 1376190 350 8.5e-317  0 0 0 0 0 0 0 1e+02 
483790 1377690 350 2.3e-312  0 0 0 0 0 0 0 1e+02 
483790 1379190 350 4.4e-308  0 0 0 0 0 0 2.3e-13 1e+02 
483790 1380690 350 5.5e-304  0 0 0 0 0 6.3e-15 4.9e-13 1e+02 
483790 1382190 350 4.8e-300  0 0 0 0 0 1e-14 8.1e-13 1e+02 
483790 1383690 350 2.8e-296  0 0 0 0 0 1.5e-14 1.3e-12 1e+02 
483790 1385190 350 1.1e-292  0 0 0 0 0 2e-14 1.9e-12 1e+02 
483790 1386690 350 3e-289  0 0 0 0 0 2.4e-14 2.8e-12 1e+02 
483790 1388190 350 5.4e-286  0 0 0 0 0 2.6e-14 3.9e-12 1e+02 
483790 1389690 350 6.8e-283  0 0 0 0 0 2.5e-14 5.3e-12 1e+02 
483790 1391190 350 5.9e-280  0 0 0 0 0 2.1e-14 6.8e-12 1e+02 
483790 1392690 350 3.5e-277  0 0 0 0 0 1.6e-14 8.3e-12 1e+02 
483790 1394190 350 1.5e-274  0 0 0 0 0 1.1e-14 9.8e-12 1e+02 
483790 1395690 350 4.5e-272  0 0 0 0 0 6e-15 1.1e-11 1e+02 
483790 1397190 350 9.6e-270  0 0 0 0 0 2.9e-15 1.2e-11 1e+02 
483790 1398690 350 1.5e-267  0 0 0 0 0 1.2e-15 1.2e-11 1e+02 
483790 1400190 350 1.7e-265  0 0 0 0 0 4.3e-16 1.2e-11 1e+02 
483790 1401690 350 1.3e-263  0 0 0 0 0 1.3e-16 1.2e-11 1e+02 
483790 1403190 350 7.5e-262  0 0 0 0 0 3.4e-17 1.2e-11 1e+02 
483790 1404690 350 3.1e-260  0 0 0 0 0 7.7e-18 1.2e-11 1e+02 
483790 1406190 350 8.8e-259  0 0 0 0 0 1.5e-18 1.3e-11 1e+02 
483790 1407690 350 1.8e-257  0 0 0 0 0 2.5e-19 1.4e-11 1e+02 
483790 1409190 350 2.6e-256  0 0 0 0 0 3.7e-20 1.6e-11 1e+02 
483790 1410690 350 2.7e-255  0 0 0 0 0 4.7e-21 2e-11 1e+02 
483790 1412190 350 2e-254  0 0 0 0 0 5.2e-22 2.7e-11 1e+02 
483790 1413690 350 1e-253  0 0 0 0 0 4.8e-23 4e-11 1e+02 
483790 1415190 350 4e-253  0 0 0 0 0 3.8e-24 6.5e-11 1e+02 
483790 1416690 350 1.1e-252  0 0 0 0 0 2.5e-25 1.1e-10 1e+02 
483790 1418190 350 2.5e-252  0 0 0 0 0 1.3e-26 2.2e-10 1e+02 
483790 1419690 350 4.1e-252  0 0 0 0 0 5.6e-28 4.5e-10 1e+02 
483790 1421190 350 5.4e-252  0 0 0 0 0 1.8e-29 9.5e-10 1e+02 
483790 1422690 350 5.8e-252  0 0 0 0 0 4.5e-31 2e-09 1e+02 
483790 1424190 350 5.3e-252  0 0 0 0 0 8.2e-33 4.3e-09 1e+02 
483790 1425690 350 4e-252  0 0 0 0 0 1.1e-34 8.6e-09 1e+02 
483790 1427190 350 2.7e-252  0 0 0 0 0 1e-36 1.6e-08 1e+02 
483790 1428690 350 1.5e-252  0 0 0 0 0 6.7e-39 2.7e-08 1e+02 
483790 1430190 350 7.7e-253  0 0 0 0 0 3.1e-41 4.2e-08 1e+02 
483790 1431690 350 3.4e-253  0 0 0 0 0 1e-43 5.8e-08 1e+02 
485290 1332690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1334190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1352190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1353690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1355190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1356690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1358190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1359690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1361190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1362690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1364190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1365690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1367190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1368690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1370190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1371690 350 5.7e-322  0 0 0 0 0 0 0 1e+02 
485290 1373190 350 5.3e-317  0 0 0 0 0 0 0 1e+02 
485290 1374690 350 3.3e-312  0 0 0 0 0 0 0 1e+02 
485290 1376190 350 1.4e-307  0 0 0 0 0 2.8e-14 5.2e-13 1e+02 
485290 1377690 350 4e-303  0 0 0 0 0 5.8e-14 1e-12 1e+02 
485290 1379190 350 7.8e-299  0 0 0 0 0 1.1e-13 1.8e-12 1e+02 
485290 1380690 350 1e-294  0 0 0 0 0 2e-13 3.1e-12 1e+02 
485290 1382190 350 8.8e-291  0 0 0 0 0 3.2e-13 5e-12 1e+02 
485290 1383690 350 5.1e-287  0 0 0 0 0 4.8e-13 7.8e-12 1e+02 
485290 1385190 350 2e-283  0 0 0 0 0 6.4e-13 1.2e-11 1e+02 
485290 1386690 350 5.2e-280  0 0 0 0 0 7.8e-13 1.7e-11 1e+02 
485290 1388190 350 9.2e-277  0 0 0 0 0 8.7e-13 2.3e-11 1e+02 
485290 1389690 350 1.1e-273  0 0 0 0 0 8.8e-13 3.1e-11 1e+02 
485290 1391190 350 8.7e-271  0 0 0 0 0 8.1e-13 4e-11 1e+02 
485290 1392690 350 4.8e-268  0 0 0 0 0 6.7e-13 4.9e-11 1e+02 
485290 1394190 350 1.8e-265  0 0 0 0 0 4.9e-13 5.9e-11 1e+02 
485290 1395690 350 4.7e-263  0 0 0 0 1.1e-59 3.2e-13 6.8e-11 1e+02 
485290 1397190 350 8.6e-261  0 0 0 0 1.7e-61 1.8e-13 7.5e-11 1e+02 
485290 1398690 350 1.1e-258  0 0 0 0 1.3e-63 8.6e-14 7.9e-11 1e+02 
485290 1400190 350 1.1e-256  0 0 0 0 4.4e-66 3.5e-14 8e-11 1e+02 
485290 1401690 350 7.9e-255  0 0 0 0 0 1.2e-14 7.6e-11 1e+02 
