#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
483790 1335690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1337190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1338690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1340190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1341690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1343190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1344690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1346190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1347690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1349190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1350690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1352190 350 1.4e-317  0 0 0 0 0 0 0 1e+02 
483790 1353690 350 3.6e-309  0 0 0 0 0 0 0 1e+02 
483790 1355190 350 6.4e-301  0 0 0 0 0 0 3.9e-14 1e+02 
483790 1356690 350 8.3e-293  0 0 0 0 0 1.6e-21 1.2e-13 1e+02 
483790 1358190 350 7.5e-285  0 0 0 0 0 2.7e-20 3.6e-13 1e+02 
483790 1359690 350 4.8e-277  0 0 0 0 0 4e-19 1.2e-12 1e+02 
483790 1361190 350 2.1e-269  0 0 0 0 0 5.2e-18 3.9e-12 1e+02 
483790 1362690 350 6.8e-262  0 0 0 0 0 5.7e-17 1.3e-11 1e+02 
483790 1364190 350 1.6e-254  0 0 0 0 0 5.5e-16 4.3e-11 1e+02 
483790 1365690 350 2.5e-247  0 0 0 0 8.3e-72 4.5e-15 1.4e-10 1e+02 
483790 1367190 350 3e-240  0 0 0 0 2e-69 3.2e-14 4.4e-10 1e+02 
483790 1368690 350 2.5e-233  0 0 0 0 2.8e-67 1.9e-13 1.3e-09 1e+02 
483790 1370190 350 1.5e-226  0 0 0 0 2.4e-65 9.8e-13 3.8e-09 1e+02 
483790 1371690 350 6.6e-220  0 0 0 0 1.2e-63 4.3e-12 1e-08 1e+02 
483790 1373190 350 2e-213  0 0 0 0 3.5e-62 1.6e-11 2.6e-08 1e+02 
483790 1374690 350 4.4e-207  0 0 0 0 6.2e-61 5.5e-11 6.4e-08 1e+02 
483790 1376190 350 6.5e-201  0 0 0 0 6.8e-60 1.6e-10 1.5e-07 1e+02 
483790 1377690 350 6.7e-195  0 0 0 0 4.6e-59 4.2e-10 3.3e-07 1e+02 
483790 1379190 350 4.7e-189  0 0 0 0 1.9e-58 9.9e-10 7.1e-07 1e+02 
483790 1380690 350 2.2e-183  0 0 0 0 5e-58 2.1e-09 1.5e-06 1e+02 
