#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1427190 350 2.4e-82  0 0 0 0 1.5e-222 1.1e-73 5.3e-13 1e+02 
482290 1428690 350 4.9e-86  0 0 0 0 4.7e-231 2.3e-77 2.6e-14 1e+02 
482290 1430190 350 9.6e-90  0 0 0 0 0 3e-81 1e-15 1e+02 
482290 1431690 350 1.7e-93  0 0 0 0 0 2.7e-85 3.1e-17 1e+02 
483790 1332690 350 3.6e-21  0 0 0 0 5.5e-258 1.1e-93 1e-19 1e+02 
483790 1334190 350 1.6e-19  0 0 0 0 2.4e-248 2.3e-89 3e-18 1e+02 
483790 1335690 350 6.7e-18  0 0 0 0 4.8e-239 3.1e-85 6.8e-17 1e+02 
483790 1337190 350 2.6e-16  0 0 0 0 4.4e-230 2.8e-81 1.3e-15 1e+02 
483790 1338690 350 8.9e-15  0 0 0 0 1.9e-221 1.7e-77 2e-14 1e+02 
483790 1340190 350 2.6e-13  0 0 0 0 4.1e-213 7.7e-74 2.7e-13 1e+02 
483790 1341690 350 6.6e-12  0 0 0 0 4.4e-205 2.5e-70 3.2e-12 1e+02 
483790 1343190 350 1.4e-10  0 0 0 0 2.4e-197 5.8e-67 3.3e-11 1e+02 
483790 1344690 350 2.6e-09  0 0 0 0 6.2e-190 9.8e-64 3.1e-10 1e+02 
483790 1346190 350 4e-08  0 0 0 0 8.2e-183 1.2e-60 2.5e-09 1e+02 
483790 1347690 350 5.4e-07  0 0 0 0 5.2e-176 1e-57 1.7e-08 1e+02 
483790 1349190 350 6.2e-06  0 0 0 0 1.7e-169 6.3e-55 1e-07 1e+02 
483790 1350690 350 6e-05  0 0 0 0 2.7e-163 2.8e-52 5.7e-07 1e+02 
483790 1352190 350 0.00048  0 0 0 0 2.2e-157 9.5e-50 2.8e-06 1e+02 
483790 1353690 350 0.0031  0 0 0 0 9.6e-152 2.4e-47 1.3e-05 1e+02 
483790 1355190 350 0.016  0 0 0 0 2.2e-146 4.8e-45 5.6e-05 1e+02 
483790 1356690 350 0.065  0 0 0 8.5e-315 2.7e-141 7.2e-43 0.00023 1e+02 
483790 1358190 350 0.21  0 0 0 1.4e-305 1.8e-136 8.6e-41 0.00088 1e+02 
483790 1359690 350 0.53  0 0 0 7.2e-297 6.3e-132 8e-39 0.0033 1e+02 
483790 1361190 350 1  0 0 0 1.1e-288 1.2e-127 5.9e-37 0.012 1e+02 
483790 1362690 350 1.6  0 0 0 5.1e-281 1.3e-123 3.5e-35 0.039 1e+02 
483790 1364190 350 1.8  0 0 0 7.1e-274 7.9e-120 1.7e-33 0.13 1e+02 
483790 1365690 350 1.6  0 0 0 3e-267 2.5e-116 6.2e-32 0.4 1e+02 
483790 1367190 350 1.2  0 0 0 3.6e-261 4.2e-113 1.7e-30 1.1 99 
483790 1368690 350 0.77  0 0 0 1.2e-255 3.4e-110 3.4e-29 2.7 97 
483790 1370190 350 0.45  0 0 0 9.4e-251 1.3e-107 4.5e-28 5.2 95 
483790 1371690 350 0.24  0 0 0 2e-246 2.2e-105 4e-27 8.2 92 
483790 1373190 350 0.11  0 0 0 1.1e-242 1.9e-103 2.5e-26 11 89 
483790 1374690 350 0.043  0 0 0 1.8e-239 8.5e-102 1.2e-25 14 86 
483790 1376190 350 0.013  0 0 0 8.8e-237 2e-100 4.4e-25 16 84 
483790 1377690 350 0.003  0 0 0 1.3e-234 2.6e-99 1.3e-24 17 83 
483790 1379190 350 0.00054  0 0 0 5.6e-233 1.9e-98 3e-24 18 82 
483790 1380690 350 7.3e-05  0 0 0 7.6e-232 7.4e-98 5.5e-24 19 81 
483790 1382190 350 7.6e-06  0 0 0 3.1e-231 1.6e-97 8.3e-24 19 81 
483790 1383690 350 6.1e-07  0 0 0 4e-231 2e-97 1e-23 19 81 
483790 1385190 350 3.6e-08  0 0 0 1.5e-231 1.4e-97 9.8e-24 19 81 
483790 1386690 350 1.7e-09  0 0 0 1.9e-232 5.2e-98 7.7e-24 18 82 
483790 1388190 350 5.8e-11  0 0 0 6.8e-234 1.1e-98 4.9e-24 17 83 
483790 1389690 350 1.5e-12  0 0 0 7.7e-236 1.3e-99 2.5e-24 16 84 
483790 1391190 350 3.1e-14  0 0 0 2.7e-238 8.6e-101 1e-24 14 86 
483790 1392690 350 4.8e-16  0 0 0 2.8e-241 3.1e-102 3.3e-25 13 87 
483790 1394190 350 5.7e-18  0 0 0 9.1e-245 6.3e-104 8.8e-26 11 89 
483790 1395690 350 5.2e-20  0 0 0 8.8e-249 6.9e-106 1.8e-26 8.8 91 
483790 1397190 350 3.7e-22  0 0 0 2.6e-253 4.2e-108 3e-27 6.9 93 
483790 1398690 350 2.1e-24  0 0 0 2.3e-258 1.4e-110 3.9e-28 5.2 95 
483790 1400190 350 9e-27  0 0 0 5.9e-264 2.4e-113 3.9e-29 3.6 96 
483790 1401690 350 3.2e-29  0 0 0 4.5e-270 2.2e-116 3e-30 2.4 98 
483790 1403190 350 9e-32  0 0 0 9.9e-277 1.1e-119 1.8e-31 1.4 99 
483790 1404690 350 2.1e-34  0 0 0 6.2e-284 2.7e-123 7.9e-33 0.76 99 
483790 1406190 350 3.9e-37  0 0 0 0 3.6e-127 2.6e-34 0.37 1e+02 
483790 1407690 350 6.1e-40  0 0 0 0 2.4e-131 6.4e-36 0.16 1e+02 
483790 1409190 350 7.8e-43  0 0 0 0 8.4e-136 1.2e-37 0.065 1e+02 
483790 1410690 350 8.1e-46  0 0 0 0 1.5e-140 1.7e-39 0.023 1e+02 
483790 1412190 350 7e-49  0 0 0 0 1.4e-145 1.7e-41 0.0074 1e+02 
483790 1413690 350 5.1e-52  0 0 0 0 6.6e-151 1.3e-43 0.0021 1e+02 
483790 1415190 350 3.1e-55  0 0 0 0 1.5e-156 7.2e-46 0.00052 1e+02 
483790 1416690 350 1.6e-58  0 0 0 0 1.8e-162 2.8e-48 0.00011 1e+02 
483790 1418190 350 7.6e-62  0 0 0 0 9.8e-169 7.6e-51 2e-05 1e+02 
483790 1419690 350 3.1e-65  0 0 0 0 2.6e-175 1.4e-53 2.9e-06 1e+02 
483790 1421190 350 1.1e-68  0 0 0 0 3.3e-182 1.9e-56 3.6e-07 1e+02 
483790 1422690 350 3.5e-72  0 0 0 0 2.1e-189 1.8e-59 3.9e-08 1e+02 
483790 1424190 350 9.3e-76  0 0 0 0 6.6e-197 1.3e-62 3.7e-09 1e+02 
483790 1425690 350 2.1e-79  0 0 0 0 1e-204 6.2e-66 3e-10 1e+02 
483790 1427190 350 4.1e-83  0 0 0 0 7.7e-213 2.2e-69 2e-11 1e+02 
483790 1428690 350 7.4e-87  0 0 0 0 2.7e-221 5.1e-73 1.2e-12 1e+02 
483790 1430190 350 1.2e-90  0 0 0 0 4.4e-230 7.9e-77 5.1e-14 1e+02 
483790 1431690 350 1.9e-94  0 0 0 0 0 8e-81 1.8e-15 1e+02 
485290 1332690 350 2.7e-22  0 0 0 0 2.7e-248 3e-89 3.8e-18 1e+02 
485290 1334190 350 1.4e-20  0 0 0 0 1e-238 5.2e-85 9.2e-17 1e+02 
485290 1335690 350 7e-19  0 0 0 0 1.7e-229 6e-81 1.8e-15 1e+02 
485290 1337190 350 3.1e-17  0 0 0 0 1.4e-220 4.8e-77 3e-14 1e+02 
485290 1338690 350 1.2e-15  0 0 0 0 5.5e-212 2.8e-73 4.2e-13 1e+02 
485290 1340190 350 3.7e-14  0 0 0 0 1.1e-203 1.1e-69 5.3e-12 1e+02 
485290 1341690 350 1e-12  0 0 0 0 1.1e-195 3.4e-66 5.8e-11 1e+02 
485290 1343190 350 2.4e-11  0 0 0 0 5.1e-188 7.1e-63 5.5e-10 1e+02 
485290 1344690 350 4.9e-10  0 0 0 0 1.2e-180 1.1e-59 4.5e-09 1e+02 
485290 1346190 350 8.9e-09  0 0 0 0 1.4e-173 1.1e-56 3.1e-08 1e+02 
485290 1347690 350 1.4e-07  0 0 0 0 7.4e-167 8e-54 1.9e-07 1e+02 
485290 1349190 350 1.9e-06  0 0 0 0 2.1e-160 4.3e-51 1e-06 1e+02 
485290 1350690 350 2.1e-05  0 0 0 0 2.9e-154 1.7e-48 4.9e-06 1e+02 
485290 1352190 350 0.00019  0 0 0 0 2.1e-148 5.1e-46 2.2e-05 1e+02 
485290 1353690 350 0.0014  0 0 0 1.7e-317 8.1e-143 1.1e-43 9.3e-05 1e+02 
485290 1355190 350 0.008  0 0 0 3e-307 1.6e-137 2e-41 0.00036 1e+02 
485290 1356690 350 0.037  0 0 0 1.5e-297 1.7e-132 2.6e-39 0.0013 1e+02 
485290 1358190 350 0.14  0 0 0 2.2e-288 1e-127 2.8e-37 0.0046 1e+02 
485290 1359690 350 0.39  0 0 0 9.7e-280 3.2e-123 2.3e-35 0.015 1e+02 
485290 1361190 350 0.87  0 0 0 1.3e-271 5.5e-119 1.5e-33 0.049 1e+02 
485290 1362690 350 1.5  0 0 0 5.3e-264 5.2e-115 7.8e-32 0.15 1e+02 
485290 1364190 350 1.9  0 0 0 6.7e-257 2.8e-111 3.3e-30 0.45 1e+02 
485290 1365690 350 1.9  0 0 0 2.6e-250 8.2e-108 1.1e-28 1.3 99 
485290 1367190 350 1.5  0 0 0 2.9e-244 1.3e-104 3e-27 3.4 97 
485290 1368690 350 1  0 0 0 8.7e-239 9.7e-102 5.5e-26 7.6 92 
485290 1370190 350 0.65  0 0 0 6.6e-234 3.4e-99 6.7e-25 14 86 
485290 1371690 350 0.38  0 0 0 1.3e-229 5.4e-97 5.5e-24 20 80 
485290 1373190 350 0.19  0 0 0 6.7e-226 4.3e-95 3.2e-23 25 75 
485290 1374690 350 0.076  0 0 0 1e-222 1.8e-93 1.4e-22 29 71 
485290 1376190 350 0.024  0 0 0 4.7e-220 4.1e-92 5.1e-22 32 68 
485290 1377690 350 0.0057  0 0 0 6.6e-218 5.1e-91 1.4e-21 35 65 
485290 1379190 350 0.0011  0 0 0 2.9e-216 3.6e-90 3.3e-21 37 63 
485290 1380690 350 0.00015  0 0 0 3.8e-215 1.4e-89 6e-21 39 61 
485290 1382190 350 1.5e-05  0 0 0 1.5e-214 3e-89 8.9e-21 40 60 
