#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
540220 1382690 300 3.4e-52  64 35 0.61 6.3e-05 1.3e-15 1.5e-24 3.9e-31 1.6e-54 
540505 1382690 300 1.1e-54  53 46 1.3 0.00021 6.2e-15 7.6e-25 6.3e-31 6.8e-54 
540795 1382690 300 2.9e-57  41 56 2.6 0.00068 3.3e-14 3.7e-25 1e-30 2.9e-53 
541090 1382690 300 6.8e-60  29 66 4.9 0.0022 1.8e-13 1.8e-25 1.5e-30 1.3e-52 
541390 1382690 300 1.4e-62  19 73 8.9 0.0069 1.1e-12 9.1e-26 2.3e-30 5.8e-52 
541695 1382690 300 2.5e-65  11 74 15 0.021 6.1e-12 4.7e-26 3.2e-30 2.6e-51 
542005 1382690 300 4e-68  5.4 71 24 0.061 3.6e-11 2.5e-26 4.2e-30 1.1e-50 
542320 1382690 300 5.6e-71  2.4 62 35 0.17 2.1e-10 1.4e-26 5.1e-30 5.1e-50 
542640 1382690 300 7.1e-74  0.91 51 48 0.45 1.2e-09 9.2e-27 5.9e-30 2.2e-49 
542965 1382690 300 7.9e-77  0.3 38 61 1.1 7.1e-09 7e-27 6.3e-30 9.5e-49 
543295 1382690 300 7.8e-80  0.082 25 72 2.7 4e-08 6.9e-27 6.2e-30 4e-48 
543630 1382690 300 7e-83  0.019 15 79 5.9 2.2e-07 9.6e-27 5.7e-30 1.6e-47 
543970 1382690 300 5.6e-86  0.0035 7.9 80 12 1.2e-06 2e-26 4.6e-30 6.4e-47 
544315 1382690 300 4.2e-89  0.00052 3.5 73 23 5.8e-06 5.5e-26 3.4e-30 2.3e-46 
544665 1382690 300 3e-92  5.8e-05 1.3 59 39 2.6e-05 2e-25 2.1e-30 7.8e-46 
545020 1382690 300 2.1e-95  4.9e-06 0.37 42 58 0.0001 7.7e-25 1.1e-30 2.3e-45 
545380 1382690 300 1.4e-98  3e-07 0.083 25 75 0.00036 3.2e-24 5.2e-31 6e-45 
545745 1382690 300 8.8e-102  1.3e-08 0.015 13 87 0.0011 1.4e-23 2.1e-31 1.4e-44 
546115 1382690 300 5.2e-105  4.5e-10 0.0022 5.8 94 0.0032 6.3e-23 7.5e-32 3.1e-44 
546490 1382690 300 2.7e-108  1.2e-11 0.00026 2.4 98 0.0087 3.1e-22 2.5e-32 6.4e-44 
546870 1382690 300 1.3e-111  2.4e-13 2.6e-05 0.87 99 0.023 1.7e-21 8.4e-33 1.3e-43 
547255 1382690 300 5.1e-115  3.7e-15 2.2e-06 0.29 1e+02 0.057 9.9e-21 2.7e-33 2.5e-43 
547645 1382690 300 1.8e-118  4.5e-17 1.6e-07 0.087 1e+02 0.14 6.2e-20 9e-34 4.6e-43 
