#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
483790 1358190 350 1.3e-303  0 0 0 0 0 0 2.9e-14 1e+02 
483790 1359690 350 7.1e-304  0 0 0 0 0 0 3.3e-14 1e+02 
483790 1361190 350 2.9e-304  0 0 0 0 0 0 3.9e-14 1e+02 
483790 1362690 350 8.2e-305  0 0 0 0 0 0 4.7e-14 1e+02 
483790 1364190 350 1.7e-305  0 0 0 0 0 0 5.7e-14 1e+02 
483790 1365690 350 2.4e-306  0 0 0 0 0 0 6.8e-14 1e+02 
483790 1367190 350 2.5e-307  0 0 0 0 0 0 6.9e-14 1e+02 
483790 1368690 350 1.9e-308  0 0 0 0 0 0 2.6e-14 1e+02 
483790 1370190 350 1e-309  0 0 0 0 0 0 0 1e+02 
483790 1371690 350 3.9e-311  0 0 0 0 0 0 0 1e+02 
483790 1373190 350 1.1e-312  0 0 0 0 0 0 0 1e+02 
483790 1374690 350 2e-314  0 0 0 0 0 0 0 1e+02 
483790 1376190 350 2.7e-316  0 0 0 0 0 0 0 1e+02 
483790 1377690 350 2.4e-318  0 0 0 0 0 0 0 1e+02 
483790 1379190 350 1.5e-320  0 0 0 0 0 0 0 1e+02 
483790 1380690 350 6.9e-323  0 0 0 0 0 0 0 1e+02 
483790 1382190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1383690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1385190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1386690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1388190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1389690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1391190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1392690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1394190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1395690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1397190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1398690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1400190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1401690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1403190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1404690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1406190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1407690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1409190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1410690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1412190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1413690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1415190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1416690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1418190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1419690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1421190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1422690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1424190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1425690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1427190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1428690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1430190 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
483790 1431690 350 0  -nan -nan -nan -nan -nan -nan -nan -nan 
485290 1332690 350 2.5e-310  0 0 0 0 0 0 1.2e-10 1e+02 
485290 1334190 350 1.2e-308  0 0 0 0 0 0 8e-11 1e+02 
485290 1335690 350 5.5e-307  0 0 0 0 0 0 4.5e-11 1e+02 
485290 1337190 350 2.1e-305  0 0 0 0 0 0 2.3e-11 1e+02 
485290 1338690 350 7.1e-304  0 0 0 0 0 0 1.1e-11 1e+02 
485290 1340190 350 2e-302  0 0 0 0 0 0 4.9e-12 1e+02 
485290 1341690 350 4.8e-301  0 0 0 0 0 0 2.2e-12 1e+02 
485290 1343190 350 9.3e-300  0 0 0 0 0 0 1e-12 1e+02 
485290 1344690 350 1.4e-298  0 0 0 0 0 0 5.1e-13 1e+02 
485290 1346190 350 1.6e-297  0 0 0 0 0 0 2.9e-13 1e+02 
485290 1347690 350 1.4e-296  0 0 0 0 0 3.6e-26 1.8e-13 1e+02 
485290 1349190 350 8.7e-296  0 0 0 0 0 3.9e-25 1.3e-13 1e+02 
485290 1350690 350 3.9e-295  0 0 0 0 0 5.6e-24 1.1e-13 1e+02 
485290 1352190 350 1.3e-294  0 0 0 0 0 7.1e-23 9.5e-14 1e+02 
485290 1353690 350 2.9e-294  0 0 0 0 0 7.7e-22 9.4e-14 1e+02 
485290 1355190 350 4.8e-294  0 0 0 0 0 7.3e-21 1e-13 1e+02 
485290 1356690 350 5.5e-294  0 0 0 0 0 6.1e-20 1.2e-13 1e+02 
485290 1358190 350 4.5e-294  0 0 0 0 0 4.3e-19 1.5e-13 1e+02 
485290 1359690 350 2.6e-294  0 0 0 0 0 2.7e-18 2e-13 1e+02 
485290 1361190 350 1.1e-294  0 0 0 0 0 1.4e-17 2.6e-13 1e+02 
485290 1362690 350 3.3e-295  0 0 0 0 0 6.3e-17 3.5e-13 1e+02 
485290 1364190 350 7.3e-296  0 0 0 0 0 2.4e-16 4.6e-13 1e+02 
485290 1365690 350 1.2e-296  0 0 0 0 0 7.5e-16 5.7e-13 1e+02 
485290 1367190 350 1.4e-297  0 0 0 0 0 2e-15 6.7e-13 1e+02 
485290 1368690 350 1.3e-298  0 0 0 0 0 4.3e-15 7.4e-13 1e+02 
485290 1370190 350 7.9e-300  0 0 0 0 0 8.2e-15 7.8e-13 1e+02 
