#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
542320 1382690 300 2.3e-42  3.9e-12 4.5e-07 0.0014 56 44 0.0019 3.3e-16 7e-43 
542640 1382690 300 6.3e-44  1.9e-13 5.7e-08 0.00042 47 53 0.0043 1.1e-15 6.4e-43 
542965 1382690 300 1.6e-45  7.3e-15 6.3e-09 0.00011 38 62 0.0093 3.9e-15 1.7e-42 
543295 1382690 300 3.8e-47  2.3e-16 5.9e-10 2.6e-05 29 71 0.02 1.4e-14 6.8e-42 
543630 1382690 300 8.4e-49  5.7e-18 4.7e-11 5.5e-06 21 79 0.042 4.8e-14 3e-41 
543970 1382690 300 1.8e-50  1.1e-19 3.1e-12 1e-06 14 86 0.086 1.7e-13 1.3e-40 
544315 1382690 300 3.5e-52  1.8e-21 1.7e-13 1.7e-07 9.1 91 0.17 5.7e-13 5.9e-40 
544665 1382690 300 6.5e-54  2.1e-23 7.9e-15 2.3e-08 5.3 94 0.33 2e-12 2.7e-39 
545020 1382690 300 1.1e-55  2e-25 3e-16 2.8e-09 2.9 96 0.63 6.8e-12 1.2e-38 
545380 1382690 300 1.9e-57  1.4e-27 9e-18 3e-10 1.5 97 1.1 2.3e-11 5.7e-38 
545745 1382690 300 3e-59  7.2e-30 2.2e-19 2.7e-11 0.68 97 2 7.8e-11 2.6e-37 
546115 1382690 300 4.5e-61  2.8e-32 4.2e-21 2e-12 0.29 96 3.4 2.6e-10 1.2e-36 
546490 1382690 300 6.4e-63  8.2e-35 6.6e-23 1.3e-13 0.11 94 5.5 8.5e-10 5.7e-36 
546870 1382690 300 8.5e-65  1.7e-37 8e-25 6.9e-15 0.038 91 8.6 2.8e-09 2.6e-35 
547255 1382690 300 1.1e-66  2.7e-40 7.6e-27 3.1e-16 0.012 87 13 8.9e-09 1.2e-34 
547645 1382690 300 1.3e-68  3e-43 5.6e-29 1.2e-17 0.0034 81 19 2.8e-08 5.8e-34 
548040 1382690 300 1.5e-70  2.3e-46 3.2e-31 3.5e-19 0.00086 74 26 8.7e-08 2.7e-33 
548440 1382690 300 1.6e-72  1.3e-49 1.4e-33 8.8e-21 0.00019 66 34 2.7e-07 1.3e-32 
548845 1382690 300 1.6e-74  5e-53 4.5e-36 1.8e-22 3.8e-05 56 44 7.9e-07 6.1e-32 
549255 1382690 300 1.5e-76  1.3e-56 1.1e-38 3e-24 6.8e-06 46 54 2.3e-06 2.8e-31 
549670 1382690 300 1.4e-78  2.4e-60 2.1e-41 3.9e-26 1.1e-06 36 64 6.7e-06 1.3e-30 
550090 1382690 300 1.2e-80  3e-64 2.8e-44 4.2e-28 1.4e-07 27 73 1.9e-05 6.2e-30 
550515 1382690 300 9.5e-83  2.4e-68 2.8e-47 3.5e-30 1.7e-08 19 81 5.2e-05 2.9e-29 
550945 1382690 300 7.3e-85  1.3e-72 2e-50 2.3e-32 1.7e-09 13 87 0.00014 1.4e-28 
551380 1382690 300 5.3e-87  4.7e-77 1.1e-53 1.2e-34 1.5e-10 8.1 92 0.00036 6.3e-28 
551820 1382690 300 3.6e-89  1.1e-81 4e-57 4.8e-37 1.2e-11 4.8 95 0.00091 2.9e-27 
552265 1382690 300 2.4e-91  1.6e-86 1.1e-60 1.5e-39 7.7e-13 2.6 97 0.0022 1.3e-26 
552715 1382690 300 1.5e-93  1.5e-91 2e-64 3.6e-42 4.3e-14 1.3 99 0.0054 6e-26 
553170 1382690 300 8.4e-96  8.8e-97 2.6e-68 6.6e-45 2e-15 0.62 99 0.012 2.7e-25 
553630 1382690 300 4.6e-98  3.2e-102 2.3e-72 9.1e-48 8.1e-17 0.27 1e+02 0.028 1.2e-24 
554095 1382690 300 2.4e-100  7.1e-108 1.4e-76 9.5e-51 2.7e-18 0.11 1e+02 0.061 5.4e-24 
554565 1382690 300 1.2e-102  9.5e-114 5.8e-81 7.4e-54 7.7e-20 0.039 1e+02 0.13 2.4e-23 
555040 1382690 300 5.5e-105  7.7e-120 1.6e-85 4.2e-57 1.8e-21 0.013 1e+02 0.26 1e-22 
555520 1382690 300 2.4e-107  3.6e-126 3e-90 1.8e-60 3.5e-23 0.0038 99 0.5 4.4e-22 
556005 1382690 300 1e-109  1e-132 3.7e-95 5.6e-64 5.7e-25 0.001 99 0.93 1.9e-21 
556495 1382690 300 4e-112  1.6e-139 3e-100 1.2e-67 7.5e-27 0.00026 98 1.7 7.7e-21 
556990 1382690 300 1.5e-114  1.5e-146 1.5e-105 2e-71 8.1e-29 5.7e-05 97 2.9 3.2e-20 
557490 1382690 300 5.3e-117  7.7e-154 5.1e-111 2.3e-75 7.1e-31 1.1e-05 95 4.8 1.3e-19 
557995 1382690 300 1.8e-119  2.2e-161 1.1e-116 1.9e-79 5.1e-33 2e-06 92 7.7 5.2e-19 
558505 1382690 300 5.5e-122  3.5e-169 1.4e-122 1.1e-83 2.9e-35 3.2e-07 88 12 2e-18 
559020 1382690 300 1.7e-124  3e-177 1.2e-128 4.5e-88 1.3e-37 4.5e-08 83 17 7.8e-18 
559540 1382690 300 4.7e-127  1.4e-185 5.9e-135 1.3e-92 4.9e-40 5.6e-09 76 24 3e-17 
560065 1382690 300 1.3e-129  0 1.8e-141 2.4e-97 1.4e-42 6.2e-10 68 32 1.1e-16 
560595 1382690 300 3.2e-132  0 3.4e-148 3.2e-102 3.3e-45 6.1e-11 58 42 4e-16 
561130 1382690 300 7.6e-135  0 3.7e-155 2.8e-107 6e-48 5.2e-12 48 52 1.4e-15 
561670 1382690 300 1.7e-137  0 2.5e-162 1.7e-112 8.5e-51 3.9e-13 39 61 4.9e-15 
562215 1382690 300 3.7e-140  0 9.5e-170 6.8e-118 9.4e-54 2.5e-14 29 71 1.7e-14 
562765 1382690 300 7.5e-143  0 2.1e-177 1.8e-123 8e-57 1.4e-15 21 79 5.5e-14 
563320 1382690 300 1.4e-145  0 0 3.1e-129 5.2e-60 7.1e-17 14 86 1.8e-13 
563880 1382690 300 2.6e-148  0 0 3.5e-135 2.6e-63 3e-18 9.2 91 5.6e-13 
564445 1382690 300 4.5e-151  0 0 2.5e-141 1e-66 1.1e-19 5.5 94 1.7e-12 
565015 1382690 300 7.2e-154  0 0 1.2e-147 2.9e-70 3.5e-21 3.1 97 5.1e-12 
565590 1382690 300 1.1e-156  0 0 3.5e-154 6.3e-74 9.4e-23 1.6 98 1.5e-11 
566170 1382690 300 1.6e-159  0 0 6.4e-161 1e-77 2.1e-24 0.8 99 4.1e-11 
566755 1382690 300 2.2e-162  0 0 0 1.3e-81 4.2e-26 0.36 1e+02 1.1e-10 
567345 1382690 300 2.9e-165  0 0 0 1.1e-85 7e-28 0.15 1e+02 2.9e-10 
567940 1382690 300 3.6e-168  0 0 0 7.5e-90 9.7e-30 0.059 1e+02 7.3e-10 
568540 1382690 300 4.1e-171  0 0 0 3.7e-94 1.1e-31 0.021 1e+02 1.8e-09 
569145 1382690 300 4.6e-174  0 0 0 1.3e-98 1.1e-33 0.0068 1e+02 4.2e-09 
569755 1382690 300 4.8e-177  0 0 0 3.3e-103 9.3e-36 0.002 1e+02 9.6e-09 
570370 1382690 300 4.7e-180  0 0 0 6.1e-108 6.4e-38 0.00056 1e+02 2.1e-08 
570990 1382690 300 4.4e-183  0 0 0 8.1e-113 3.7e-40 0.00014 1e+02 4.4e-08 
571615 1382690 300 3.8e-186  0 0 0 7.6e-118 1.7e-42 3.2e-05 1e+02 9e-08 
572245 1382690 300 3.2e-189  0 0 0 5.1e-123 6.9e-45 6.7e-06 1e+02 1.8e-07 
572880 1382690 300 2.5e-192  0 0 0 2.4e-128 2.2e-47 1.3e-06 1e+02 3.3e-07 
573520 1382690 300 1.8e-195  0 0 0 0 6e-50 2.2e-07 1e+02 6e-07 
574165 1382690 300 1.2e-198  0 0 0 0 1.3e-52 3.5e-08 1e+02 1.1e-06 
574815 1382690 300 7.7e-202  0 0 0 0 2.4e-55 5e-09 1e+02 1.8e-06 
575470 1382690 300 4.5e-205  0 0 0 0 3.6e-58 6.6e-10 1e+02 3e-06 
576130 1382690 300 2.4e-208  0 0 0 0 4.6e-61 8.1e-11 1e+02 5e-06 
576795 1382690 300 1.2e-211  0 0 0 0 4.7e-64 9.1e-12 1e+02 7.9e-06 
577465 1382690 300 5.4e-215  0 0 0 0 4.1e-67 9.5e-13 1e+02 1.3e-05 
578140 1382690 300 2.2e-218  0 0 0 0 2.9e-70 9.2e-14 1e+02 2e-05 
578820 1382690 300 8.3e-222  0 0 0 0 1.7e-73 8.3e-15 1e+02 3e-05 
579505 1382690 300 2.7e-225  0 0 0 0 8.6e-77 6.9e-16 1e+02 4.7e-05 
580195 1382690 300 8.2e-229  0 0 0 0 3.6e-80 5.4e-17 1e+02 7.2e-05 
580890 1382690 300 2.2e-232  0 0 0 0 1.2e-83 4e-18 1e+02 0.00011 
581590 1382690 300 5.2e-236  0 0 0 0 9.5e-87 2.7e-19 1e+02 0.00017 
582295 1382690 300 1.1e-239  0 0 0 0 0 1.7e-20 1e+02 0.00027 
583005 1382690 300 2e-243  0 0 0 0 0 1e-21 1e+02 0.00042 
583720 1382690 300 3.3e-247  0 0 0 0 0 5.9e-23 1e+02 0.00066 
584440 1382690 300 4.8e-251  0 0 0 0 0 3.1e-24 1e+02 0.0011 
585165 1382690 300 6.2e-255  0 0 0 0 0 1.5e-25 1e+02 0.0017 
585895 1382690 300 6.9e-259  0 0 0 0 0 7.1e-27 1e+02 0.0028 
586630 1382690 300 6.7e-263  0 0 0 0 0 3.1e-28 1e+02 0.0048 
587370 1382690 300 5.8e-267  0 0 0 0 0 1.2e-29 1e+02 0.0086 
588115 1382690 300 4.3e-271  0 0 0 0 0 4.7e-31 1e+02 0.016 
588865 1382690 300 2.8e-275  0 0 0 0 0 1.7e-32 1e+02 0.033 
589620 1382690 300 1.6e-279  0 0 0 0 0 5.5e-34 1e+02 0.075 
