#Easting Northing Elev. Mass/Area  [-4->-3) [-3->-2) [-2->-1) [-1->0) [0->1) [1->2) [2->3) [3->4) 
482290 1427190 350 3.3e-31  0 0 0 0 1.4e-215 2.1e-67 9e-09 1e+02 
482290 1428690 350 2.5e-33  0 0 0 0 4.5e-224 5.2e-71 6.8e-10 1e+02 
482290 1430190 350 1.6e-35  0 0 0 0 7.3e-233 9.5e-75 4.5e-11 1e+02 
482290 1431690 350 9e-38  0 0 0 0 6e-242 1.2e-78 2.7e-12 1e+02 
483790 1332690 350 3.3e-71  0 0 0 0 7.5e-251 5.4e-91 2.2e-23 1e+02 
483790 1334190 350 3.1e-67  0 0 0 0 6.3e-242 2.4e-87 1.7e-22 1e+02 
483790 1335690 350 2.4e-63  0 0 0 0 2.7e-233 8.2e-84 1.3e-21 1e+02 
483790 1337190 350 1.5e-59  0 0 0 0 6.1e-225 2.1e-80 8.6e-21 1e+02 
483790 1338690 350 7.3e-56  0 0 0 0 7.3e-217 4.2e-77 5.5e-20 1e+02 
483790 1340190 350 2.9e-52  0 0 0 0 4.6e-209 6.4e-74 3.3e-19 1e+02 
483790 1341690 350 9e-49  0 0 0 0 1.6e-201 7.6e-71 1.9e-18 1e+02 
483790 1343190 350 2.2e-45  0 0 0 0 2.9e-194 7e-68 1.1e-17 1e+02 
483790 1344690 350 4.2e-42  0 0 0 0 2.8e-187 5.1e-65 5.7e-17 1e+02 
483790 1346190 350 6.3e-39  0 0 0 0 1.5e-180 3e-62 3e-16 1e+02 
483790 1347690 350 7.2e-36  0 0 0 0 4.6e-174 1.4e-59 1.5e-15 1e+02 
483790 1349190 350 6.4e-33  0 0 0 0 7.6e-168 5.1e-57 7.7e-15 1e+02 
483790 1350690 350 4.2e-30  0 0 0 0 7e-162 1.5e-54 3.9e-14 1e+02 
483790 1352190 350 2.1e-27  0 0 0 0 3.6e-156 3.7e-52 2e-13 1e+02 
483790 1353690 350 8.1e-25  0 0 0 0 1e-150 7.5e-50 1e-12 1e+02 
483790 1355190 350 2.3e-22  0 0 0 0 1.7e-145 1.2e-47 5.5e-12 1e+02 
483790 1356690 350 4.8e-20  0 0 0 0 1.6e-140 1.7e-45 3e-11 1e+02 
483790 1358190 350 7.3e-18  0 0 0 1.6e-302 9e-136 1.9e-43 1.6e-10 1e+02 
483790 1359690 350 8.3e-16  0 0 0 5.6e-294 2.8e-131 1.8e-41 9.1e-10 1e+02 
483790 1361190 350 6.8e-14  0 0 0 6.4e-286 5.2e-127 1.5e-39 5.2e-09 1e+02 
483790 1362690 350 4.1e-12  0 0 0 2.3e-278 5.5e-123 1e-37 3e-08 1e+02 
483790 1364190 350 1.8e-10  0 0 0 2.8e-271 3.5e-119 5.8e-36 1.7e-07 1e+02 
483790 1365690 350 5.6e-09  0 0 0 1e-264 1.3e-115 2.8e-34 1e-06 1e+02 
483790 1367190 350 1.3e-07  0 0 0 1.3e-258 2.7e-112 1.1e-32 5.7e-06 1e+02 
483790 1368690 350 2.2e-06  0 0 0 5e-253 3.3e-109 4e-31 3.2e-05 1e+02 
483790 1370190 350 2.6e-05  0 0 0 6.3e-248 2.3e-106 1.1e-29 0.00018 1e+02 
483790 1371690 350 0.00024  0 0 0 2.5e-243 9.7e-104 2.8e-28 0.00092 1e+02 
483790 1373190 350 0.0016  0 0 0 3.2e-239 2.3e-101 5.5e-27 0.0046 1e+02 
483790 1374690 350 0.0078  0 0 0 1.2e-235 3e-99 8.9e-26 0.022 1e+02 
483790 1376190 350 0.03  0 0 0 1.5e-232 2.2e-97 1.1e-24 0.093 1e+02 
483790 1377690 350 0.091  0 0 0 5.1e-230 8.7e-96 1.1e-23 0.35 1e+02 
483790 1379190 350 0.23  0 0 0 5e-228 1.7e-94 8.3e-23 1.1 99 
483790 1380690 350 0.5  0 0 0 1.4e-226 1.7e-93 4.4e-22 3.1 97 
483790 1382190 350 0.94  0 0 0 9.7e-226 8.2e-93 1.6e-21 6.9 93 
483790 1383690 350 1.5  0 0 0 1.9e-225 2e-92 4.2e-21 13 87 
483790 1385190 350 2.1  0 0 0 1.1e-225 2.3e-92 8.1e-21 22 78 
483790 1386690 350 2.4  0 0 0 1.6e-226 1.4e-92 1.1e-20 33 67 
483790 1388190 350 2.3  0 0 0 6.8e-228 4.3e-93 1.2e-20 43 57 
483790 1389690 350 1.8  0 0 0 8e-230 6.6e-94 8.6e-21 52 48 
483790 1391190 350 1.2  0 0 0 2.7e-232 5.2e-95 4.8e-21 57 43 
483790 1392690 350 0.64  0 0 0 2.6e-235 2.1e-96 2e-21 59 41 
483790 1394190 350 0.27  0 0 0 7.3e-239 4.7e-98 6.6e-22 58 42 
483790 1395690 350 0.092  0 0 0 6.1e-243 5.6e-100 1.7e-22 55 45 
483790 1397190 350 0.024  0 0 0 1.5e-247 3.6e-102 3.3e-23 51 49 
483790 1398690 350 0.0051  0 0 0 1.1e-252 1.2e-104 5.1e-24 45 55 
483790 1400190 350 0.00083  0 0 0 2.5e-258 2.3e-107 6.2e-25 38 62 
483790 1401690 350 0.00011  0 0 0 1.6e-264 2.2e-110 5.8e-26 30 70 
483790 1403190 350 1.1e-05  0 0 0 3.1e-271 1.2e-113 4.2e-27 23 77 
483790 1404690 350 9.1e-07  0 0 0 1.7e-278 3.3e-117 2.4e-28 16 84 
483790 1406190 350 6e-08  0 0 0 2.8e-286 4.9e-121 1e-29 11 89 
483790 1407690 350 3.2e-09  0 0 0 1.3e-294 3.8e-125 3.3e-31 6.7 93 
483790 1409190 350 1.4e-10  0 0 0 1.8e-303 1.5e-129 8e-33 3.8 96 
483790 1410690 350 5.2e-12  0 0 0 0 3.1e-134 1.4e-34 1.9 98 
483790 1412190 350 1.6e-13  0 0 0 0 3.1e-139 1.9e-36 0.85 99 
483790 1413690 350 4.4e-15  0 0 0 0 1.5e-144 1.7e-38 0.33 1e+02 
483790 1415190 350 1e-16  0 0 0 0 3.7e-150 1.1e-40 0.11 1e+02 
483790 1416690 350 2.1e-18  0 0 0 0 4.4e-156 5.1e-43 0.031 1e+02 
483790 1418190 350 3.5e-20  0 0 0 0 2.6e-162 1.8e-45 0.0081 1e+02 
483790 1419690 350 5e-22  0 0 0 0 8e-169 4.4e-48 0.0019 1e+02 
483790 1421190 350 5.9e-24  0 0 0 0 1.2e-175 8.2e-51 0.00039 1e+02 
483790 1422690 350 5.8e-26  0 0 0 0 9.7e-183 1.1e-53 7.1e-05 1e+02 
